x,y
n a,0
k,0
c l,0
i o n c a,0
p h,0
а с т,0
л у ж н а ф о с ф а т а з а л ф,0
т и р е о т р о п н и й г о р м о н т т г,0
б і л і р у б і н з а г а л ь н и й,0
з а л і з о,0
а м і л а з а,0
c o NUMBER,0
ф е р и т и н,0
л е й к о ц и т и,0
г л ю к о з а,0
i o n m g,0
т р и г л і ц е р и д и,0
а л ь б у м і н,0
к а л ь ц и т о н і н,0
м а р к е р к і с т к о в о ї р е з о р б ц і ї b o n e t r a p NUMBER b,0
о с т е о к а л ь ц и н,0
а н д р о с т е н д і о н,0
а н т и м ю л л е р і в г о р м о н а м г m i s,0
д и г і д р о т е с т о с т е р о н,0
е с т р а д і о л e NUMBER,0
е с т р о н e NUMBER,0
і н г і б і н b,0
л ю т е ї н і з у ю ч и й г о р м о н л г,0
п р о г е с т е р о н,0
п р о л а к т и н,0
NUMBER DASH α DASH о к с и п р о г е с т е р о н NUMBER DASH o h p,0
а д р е н о к о р т и к о т р о п н и й г о р м о н а к т г a c t h,0
а н г і о т е н з и н п е р е т в о р ю ю ч и й ф е р м е н т а п ф,0
д е г і д р о е п і а н д р о с т е р о н DASH с у л ь ф а т д г е а DASH с d h e a DASH s,0
і н с у л і н о п о д і б н и й ф а к т о р р о с т у DASH NUMBER і ф р DASH NUMBER і g f DASH NUMBER,0
і н с у л і н о п о д і б н и й ф а к т о р р о с т у з в я з у ю ч о г о б і л к а NUMBER i g f DASH b p NUMBER,0
к о р т и з о л с и р о в а т к а,0
к о р т и з о л с л и н а,0
к о р т и з о л в і л ь н и й д о б о в а с е ч а,0
м е л а т о н і н с и р о в а т к а,0
м е т а н е ф р и н н о р м е т а н е ф р и н NUMBER DASH м е т о к с и т и р а м і н п л а з м а,0
с е р о т о н і н,0
с о м а т о т р о п н и й г о р м о н г о р м о н р о с т у с т г,0
а д и п о н е к т и н,0
г л і к о в а н и й г е м о г л о б і н h b a NUMBER c,0
г л ю к о з а д о б о в а с е ч а,0
г л ю к о з а с и р о в а т к а,0
г л ю т а м і н о к и с л а д е к а р б о к с и л а з а g a d a а н т и т і л а i g g,0
з є д н у ю ч и й п е п т и д с DASH п е п т и д,0
і н с у л і н,0
і н с у л і н а н т и т і л а i g g к і л ь к і с н е в и з н а ч е н н я,0
л е п т и н,0
о с т р і в ц е в и й а п а р а т п і д ш л у н к о в о ї з а л о з и а н т и т і л а i g g i c a м е т о д i f t,0
п р о і н с у л і н,0
т и р о з и н ф о с ф а т а з а а н т и т і л а i g g,0
т р а н с п о р т е р ц и н к у NUMBER z n t NUMBER с у м а р н і а н т и т і л а,0
ф р у к т о з а м і н,0
α DASH ф е т о п р о т е ї н а ф п,0
β DASH х г л в і л ь н и й,0
β DASH х г л з а г а л ь н и й х о р і о н і ч н и й г о н а д о т р о п і н з а г а л ь н и й,0
β NUMBER DASH м і к р о г л о б у л і н,0
а н т и г е н п л о с к о к л і т и н н о ї к а р ц и н о м и s c c,0
н е й р о н DASH с п е ц и ф і ч н а е н о л а з а n s e,0
о н к о м а р к е р c y f r a с а NUMBER DASH NUMBER ф р а г м е н т ц и т о к е р а т и н у NUMBER,0
о н к о м а р к е р h e NUMBER,0
о н к о м а р к е р б і л о к s DASH NUMBER,0
о н к о м а р к е р м о л о ч н о ї з а л о з и с а NUMBER DASH NUMBER,0
о н к о м а р к е р п і д ш л у н к о в о ї з а л о з и с а NUMBER,0
о н к о м а р к е р п і д ш л у н к о в о ї з а л о з и ж о в ч н о г о м і х у р а с а NUMBER DASH NUMBER,0
о н к о м а р к е р ш к т с а NUMBER,0
о н к о м а р к е р ш л у н к а с а NUMBER DASH NUMBER,0
о н к о м а р к е р я є ч н и к і в с а NUMBER,0
п р о с т а т DASH с п е ц и ф і ч н и й а н т и г е н з а г а л ь н и й п с а,0
